,file_index,best_score,epoch_no
0,1,0.6715216636657715,1
1,2,0.7604572176933289,1
2,3,0.8210846185684204,2
3,4,0.7959867715835571,2
4,5,0.767179548740387,2
5,6,0.5334416627883911,2
6,7,0.8088041543960571,0
7,8,0.5179495215415955,0
8,9,0.46826452016830444,1
9,10,0.8934807777404785,1
10,11,0.49888482689857483,0
11,12,0.4663909673690796,1
12,13,0.8546239733695984,1
13,14,0.6236111521720886,49
14,15,0.8475376963615417,0
15,16,0.5510351657867432,49
16,17,0.5630443692207336,0
17,18,0.8973550796508789,0
18,19,0.7136745452880859,1
19,20,0.7503045201301575,1
20,21,0.16533884406089783,1
21,22,0.8415042757987976,1
22,23,0.9186111688613892,0
23,24,0.8138936758041382,0
24,25,0.813383936882019,1
25,26,0.5381473302841187,0
26,27,0.6709520816802979,6
27,28,0.5172382593154907,0
28,29,0.607224702835083,6
29,30,0.8060606718063354,0
30,31,0.7475681304931641,1
31,32,0.7055634260177612,0
32,33,0.36315637826919556,1
33,34,0.8541786670684814,2
34,35,0.819666862487793,1
35,36,0.5732136964797974,0
36,37,0.7685001492500305,1
37,38,0.3599928021430969,1
38,39,0.6291780471801758,0
39,40,0.5136040449142456,0
40,41,0.3982304334640503,8
41,42,0.8791767358779907,1
42,43,0.5984510183334351,2
43,44,0.6366498470306396,0
44,45,0.5706272721290588,49
45,46,0.375896155834198,0
46,47,0.8907431960105896,0
47,48,0.6046839952468872,49
48,49,0.5128997564315796,3
49,50,0.5078263878822327,0
50,51,0.5267526507377625,13
51,52,0.2776586413383484,0
52,53,0.8287978172302246,3
53,54,0.23957693576812744,0
54,55,0.7247965335845947,7
55,56,0.7928704023361206,0
56,57,0.5987206697463989,1
57,58,0.7130647897720337,2
58,59,0.6102820634841919,0
59,60,0.5266187191009521,49
60,61,0.6708833575248718,0
61,62,0.46624842286109924,0
62,63,0.7937307357788086,1
63,64,0.7352855205535889,1
64,65,0.9269964694976807,0
65,66,0.8327223062515259,3
66,67,0.6082251071929932,4
67,68,0.6427074074745178,0
68,69,0.7674404382705688,1
69,70,0.45832350850105286,2
70,71,0.5908425450325012,1
71,72,0.9659732580184937,0
72,73,0.5386767983436584,49
73,74,0.6831503510475159,0
74,75,0.8149676322937012,0
75,76,0.7408750057220459,0
76,77,0.5836783647537231,0
77,78,0.6616218090057373,0
78,79,0.8635042309761047,1
79,80,0.6498616933822632,0
80,81,0.6397196054458618,49
81,82,0.5254206657409668,49
82,83,0.12449903786182404,1
83,84,0.6798475384712219,49
84,85,0.7854059934616089,0
85,86,0.7596660852432251,1
86,87,0.5167751908302307,49
87,88,0.8056890964508057,1
88,89,0.6833254098892212,0
89,90,0.8262174725532532,0
