,0
0,0.08189766854047775
1,0.13674090802669525
2,0.48024410009384155
3,0.18482118844985962
4,0.08840684592723846
5,0.3597354590892792
6,0.0396692156791687
7,0.42295876145362854
8,0.025171693414449692
9,0.058030229061841965
10,0.20886151492595673
11,0.522840142250061
12,0.521141767501831
13,0.022902224212884903
14,0.07399436086416245
15,0.31087541580200195
16,0.07158306986093521
17,0.135848730802536
18,0.08123284578323364
19,0.2739962935447693
20,0.13420552015304565
21,0.45015016198158264
22,0.12956036627292633
23,0.2792307734489441
24,0.14639127254486084
25,0.2729652225971222
26,0.429629921913147
27,0.38535276055336
28,0.24720081686973572
29,0.04933999851346016
30,0.09813123196363449
31,0.09339229762554169
32,0.30105283856391907
33,0.34410929679870605
34,0.39113739132881165
35,0.6378293633460999
36,0.2961823046207428
37,0.09963575005531311
38,0.1266220211982727
39,0.03509587422013283
40,0.19953089952468872
41,0.0063774012960493565
42,0.35424527525901794
43,0.5300161838531494
44,0.07624977082014084
45,0.09949097037315369
46,0.3873668611049652
47,0.04241909086704254
48,0.02372383140027523
49,0.603869616985321
50,0.08365241438150406
51,0.012326842173933983
52,0.31117698550224304
53,0.1161983385682106
54,0.296250581741333
55,0.1292145848274231
56,0.029848072677850723
57,0.17327089607715607
58,0.228078693151474
59,0.11783377081155777
60,0.20203259587287903
61,0.5156574845314026
62,0.4726284146308899
63,0.38894686102867126
64,0.06644084304571152
65,0.3941420614719391
66,0.13345660269260406
67,0.2936617136001587
68,0.05788249894976616
69,0.033260807394981384
70,0.07513848692178726
71,0.13725662231445312
72,0.03889010101556778
73,0.1806567758321762
74,0.034529462456703186
75,0.03180284425616264
76,0.08058831095695496
77,0.10569806396961212
78,0.13855168223381042
79,0.07784348726272583
80,0.1814107447862625
81,0.37191468477249146
82,0.18148158490657806
83,0.08266207575798035
84,0.2582875192165375
85,0.11355650424957275
86,0.29875993728637695
87,0.15219369530677795
88,0.02674991451203823
89,0.5853444337844849
