,0
266,tensor(0.7489)
267,tensor(0.5090)
268,tensor(0.5934)
269,tensor(0.5139)
270,tensor(0.5767)
271,tensor(0.6056)
272,tensor(0.4968)
273,tensor(0.4933)
274,tensor(0.4608)
275,tensor(0.5105)
276,tensor(0.5237)
277,tensor(0.5141)
278,tensor(0.5881)
279,tensor(0.6180)
280,tensor(0.7350)
281,tensor(0.4063)
282,tensor(0.6123)
283,tensor(0.5041)
284,tensor(0.5214)
285,tensor(0.5533)
286,tensor(0.6923)
287,tensor(0.4684)
288,tensor(0.5215)
289,tensor(0.5316)
290,tensor(0.5272)
291,tensor(0.7475)
292,tensor(0.4685)
293,tensor(0.5088)
294,tensor(0.7673)
295,tensor(0.4359)
296,tensor(0.5627)
297,tensor(0.5621)
298,tensor(0.5598)
299,tensor(0.6190)
300,tensor(0.5683)
301,tensor(0.5526)
302,tensor(0.5689)
303,tensor(0.4951)
304,tensor(0.5000)
305,tensor(0.5927)
306,tensor(0.5433)
307,tensor(0.6074)
308,tensor(0.5253)
309,tensor(0.5091)
310,tensor(0.4790)
311,tensor(0.4799)
312,tensor(0.5238)
313,tensor(0.5121)
314,tensor(0.5458)
315,tensor(0.5223)
316,tensor(0.5717)
317,tensor(0.5128)
318,tensor(0.5694)
319,tensor(0.5834)
320,tensor(0.5113)
321,tensor(0.4604)
322,tensor(0.7176)
323,tensor(0.5030)
324,tensor(0.7025)
325,tensor(0.5961)
326,tensor(0.5193)
327,tensor(0.7022)
328,tensor(0.5626)
329,tensor(0.5191)
330,tensor(0.5239)
331,tensor(0.6014)
332,tensor(0.8728)
333,tensor(0.4919)
334,tensor(0.7337)
335,tensor(0.5913)
336,tensor(0.5266)
337,tensor(0.7342)
338,tensor(0.5976)
339,tensor(0.5646)
340,tensor(0.5296)
341,tensor(0.5279)
342,tensor(0.6981)
343,tensor(0.5643)
344,tensor(0.5316)
345,tensor(0.5142)
346,tensor(0.5144)
347,tensor(0.5817)
348,tensor(0.6233)
349,tensor(0.6170)
350,tensor(0.5090)
351,tensor(0.7162)
352,tensor(0.7171)
353,tensor(0.5430)
354,tensor(0.5293)
355,tensor(0.6170)
356,tensor(0.5157)
357,tensor(0.5152)
358,tensor(0.5215)
359,tensor(0.5630)
360,tensor(0.5528)
361,tensor(0.4842)
362,tensor(0.6181)
363,tensor(0.5805)
364,tensor(0.5940)
365,tensor(0.6071)
366,tensor(0.5141)
367,tensor(0.4490)
368,tensor(0.5951)
369,tensor(0.5259)
370,tensor(0.5069)
371,tensor(0.7631)
372,tensor(0.5163)
373,tensor(0.5836)
374,tensor(0.5070)
375,tensor(0.5953)
376,tensor(0.5922)
377,tensor(0.5227)
378,tensor(0.5218)
379,tensor(0.6872)
380,tensor(0.6080)
381,tensor(0.7544)
382,tensor(0.5252)
383,tensor(0.4985)
384,tensor(0.5960)
385,tensor(0.4589)
386,tensor(0.6143)
387,tensor(0.5025)
388,tensor(0.5248)
389,tensor(0.5276)
390,tensor(0.8134)
391,tensor(0.5400)
392,tensor(0.5058)
393,tensor(0.5243)
394,tensor(0.4792)
395,tensor(0.5254)
396,tensor(0.5995)
397,tensor(0.5510)
398,tensor(0.5987)
399,tensor(0.5590)
400,tensor(0.5564)
401,tensor(0.7298)
402,tensor(0.4824)
403,tensor(0.5036)
404,tensor(0.7797)
405,tensor(0.5257)
406,tensor(0.5240)
407,tensor(0.7841)
408,tensor(0.5308)
409,tensor(0.5941)
410,tensor(0.5145)
411,tensor(0.4950)
412,tensor(0.5401)
413,tensor(0.5070)
414,tensor(0.5239)
415,tensor(0.5164)
416,tensor(0.5229)
417,tensor(0.5036)
418,tensor(0.5139)
419,tensor(0.5145)
420,tensor(0.5828)
421,tensor(0.5249)
422,tensor(0.5129)
423,tensor(0.5088)
424,tensor(0.5521)
425,tensor(0.5042)
426,tensor(0.5245)
427,tensor(0.7330)
428,tensor(0.5182)
429,tensor(0.5505)
430,tensor(0.5239)
431,tensor(0.5546)
432,tensor(0.5268)
433,tensor(0.5267)
434,tensor(0.5201)
435,tensor(0.5142)
436,tensor(0.8911)
437,tensor(0.4870)
438,tensor(0.6101)
439,tensor(0.8601)
440,tensor(0.5755)
441,tensor(0.7464)
442,tensor(0.5536)
443,tensor(0.4945)
444,tensor(0.6002)
445,tensor(0.5247)
446,tensor(0.5140)
447,tensor(0.4905)
448,tensor(0.5765)
449,tensor(0.5113)
450,tensor(0.5048)
451,tensor(0.5741)
