,0
266,tensor(41.1982)
267,tensor(36.0975)
268,tensor(37.3881)
269,tensor(36.6817)
270,tensor(37.7482)
271,tensor(36.8034)
272,tensor(35.6018)
273,tensor(35.2610)
274,tensor(34.8495)
275,tensor(36.7066)
276,tensor(37.0564)
277,tensor(35.4484)
278,tensor(38.0885)
279,tensor(38.7780)
280,tensor(37.6815)
281,tensor(33.4779)
282,tensor(36.3085)
283,tensor(35.8042)
284,tensor(36.9937)
285,tensor(37.1030)
286,tensor(37.3137)
287,tensor(34.9995)
288,tensor(36.8109)
289,tensor(37.0819)
290,tensor(37.0760)
291,tensor(41.3741)
292,tensor(34.0638)
293,tensor(36.0365)
294,tensor(41.5205)
295,tensor(29.7884)
296,tensor(37.0802)
297,tensor(37.0509)
298,tensor(37.1016)
299,tensor(38.7411)
300,tensor(36.8193)
301,tensor(37.0579)
302,tensor(37.0633)
303,tensor(35.5947)
304,tensor(34.6075)
305,tensor(38.3199)
306,tensor(36.6613)
307,tensor(38.6806)
308,tensor(37.0505)
309,tensor(36.5738)
310,tensor(35.4091)
311,tensor(35.9529)
312,tensor(36.9395)
313,tensor(35.9792)
314,tensor(36.5677)
315,tensor(37.0070)
316,tensor(35.8645)
317,tensor(36.7587)
318,tensor(36.8310)
319,tensor(36.8753)
320,tensor(34.9276)
321,tensor(34.9011)
322,tensor(37.4095)
323,tensor(35.0128)
324,tensor(38.9832)
325,tensor(36.2964)
326,tensor(36.1397)
327,tensor(38.7259)
328,tensor(36.8662)
329,tensor(36.9743)
330,tensor(37.0334)
331,tensor(38.5309)
332,tensor(36.1333)
333,tensor(36.2540)
334,tensor(38.5637)
335,tensor(36.7755)
336,tensor(37.0617)
337,tensor(38.3169)
338,tensor(38.4872)
339,tensor(37.2360)
340,tensor(37.0782)
341,tensor(37.0430)
342,tensor(37.1314)
343,tensor(37.1065)
344,tensor(37.0838)
345,tensor(35.9780)
346,tensor(36.6310)
347,tensor(36.9968)
348,tensor(38.8212)
349,tensor(35.8419)
350,tensor(35.6798)
351,tensor(38.7124)
352,tensor(38.7364)
353,tensor(36.5789)
354,tensor(37.0990)
355,tensor(38.6846)
356,tensor(36.5684)
357,tensor(35.3428)
358,tensor(37.0148)
359,tensor(37.0964)
360,tensor(37.0501)
361,tensor(35.3588)
362,tensor(38.4972)
363,tensor(34.7482)
364,tensor(34.4417)
365,tensor(38.5981)
366,tensor(35.9200)
367,tensor(34.1330)
368,tensor(38.3645)
369,tensor(37.0712)
370,tensor(35.4298)
371,tensor(41.4574)
372,tensor(36.9020)
373,tensor(37.0632)
374,tensor(35.6597)
375,tensor(37.5735)
376,tensor(38.4920)
377,tensor(36.8671)
378,tensor(36.8877)
379,tensor(36.5574)
380,tensor(38.6932)
381,tensor(41.2202)
382,tensor(37.0457)
383,tensor(35.3286)
384,tensor(38.4659)
385,tensor(34.7111)
386,tensor(38.6751)
387,tensor(36.3107)
388,tensor(36.9981)
389,tensor(37.1058)
390,tensor(35.9436)
391,tensor(37.0704)
392,tensor(35.3226)
393,tensor(37.0330)
394,tensor(34.7064)
395,tensor(36.9479)
396,tensor(38.5138)
397,tensor(37.0127)
398,tensor(37.9912)
399,tensor(36.9943)
400,tensor(37.0792)
401,tensor(38.1607)
402,tensor(34.5600)
403,tensor(36.5659)
404,tensor(41.5797)
405,tensor(36.9806)
406,tensor(36.9689)
407,tensor(41.5328)
408,tensor(37.1269)
409,tensor(38.3444)
410,tensor(36.7237)
411,tensor(36.3792)
412,tensor(34.9301)
413,tensor(36.0476)
414,tensor(37.0388)
415,tensor(35.8904)
416,tensor(37.0127)
417,tensor(35.4138)
418,tensor(35.0162)
419,tensor(36.6873)
420,tensor(36.7277)
421,tensor(36.8160)
422,tensor(36.6287)
423,tensor(35.7766)
424,tensor(37.0925)
425,tensor(34.3964)
426,tensor(37.0537)
427,tensor(38.5962)
428,tensor(36.0107)
429,tensor(37.0403)
430,tensor(37.0085)
431,tensor(37.0512)
432,tensor(36.9958)
433,tensor(37.0724)
434,tensor(36.4010)
435,tensor(36.1733)
436,tensor(41.3539)
437,tensor(35.7023)
438,tensor(38.3962)
439,tensor(36.4029)
440,tensor(36.9428)
441,tensor(40.6747)
442,tensor(37.1378)
443,tensor(36.0220)
444,tensor(36.2877)
445,tensor(35.2217)
446,tensor(35.8895)
447,tensor(36.0724)
448,tensor(38.2122)
449,tensor(36.7900)
450,tensor(36.6803)
451,tensor(37.0010)
452,tensor(38.3840)
453,tensor(38.6568)
454,tensor(38.0597)
455,tensor(36.5145)
456,tensor(37.0662)
457,tensor(35.4268)
458,tensor(35.7162)
459,tensor(37.7007)
460,tensor(36.7473)
461,tensor(38.7455)
462,tensor(34.6911)
463,tensor(37.0643)
464,tensor(37.9455)
465,tensor(37.0549)
466,tensor(41.5348)
467,tensor(35.7195)
468,tensor(36.5642)
469,tensor(40.6010)
470,tensor(36.9517)
471,tensor(36.9919)
472,tensor(38.5651)
473,tensor(35.6829)
