,0
266,tensor(0.7929)
267,tensor(0.5755)
268,tensor(0.7622)
269,tensor(0.5731)
270,tensor(0.7498)
271,tensor(0.6227)
272,tensor(0.5581)
273,tensor(0.5602)
274,tensor(0.5295)
275,tensor(0.5710)
276,tensor(0.5817)
277,tensor(0.5789)
278,tensor(0.7538)
279,tensor(0.7590)
280,tensor(0.7779)
281,tensor(0.4858)
282,tensor(0.6198)
283,tensor(0.5694)
284,tensor(0.5776)
285,tensor(0.5855)
286,tensor(0.7360)
287,tensor(0.5387)
288,tensor(0.5693)
289,tensor(0.5849)
290,tensor(0.5836)
291,tensor(0.7861)
292,tensor(0.5768)
293,tensor(0.5780)
294,tensor(0.7905)
295,tensor(0.4917)
296,tensor(0.5938)
297,tensor(0.5926)
298,tensor(0.5851)
299,tensor(0.7586)
300,tensor(0.7900)
301,tensor(0.5853)
302,tensor(0.5937)
303,tensor(0.5567)
304,tensor(0.5996)
305,tensor(0.7485)
306,tensor(0.7736)
307,tensor(0.7602)
308,tensor(0.5811)
309,tensor(0.5710)
310,tensor(0.5317)
311,tensor(0.5395)
312,tensor(0.5754)
313,tensor(0.5717)
314,tensor(0.7586)
315,tensor(0.5801)
316,tensor(0.5937)
317,tensor(0.5694)
318,tensor(0.5949)
319,tensor(0.7887)
320,tensor(0.5761)
321,tensor(0.5272)
322,tensor(0.7611)
323,tensor(0.6095)
324,tensor(0.7506)
325,tensor(0.6085)
326,tensor(0.5814)
327,tensor(0.7567)
328,tensor(0.7326)
329,tensor(0.5775)
330,tensor(0.5784)
331,tensor(0.7501)
332,tensor(0.9296)
333,tensor(0.5499)
334,tensor(0.7642)
335,tensor(0.6119)
336,tensor(0.5830)
337,tensor(0.7766)
338,tensor(0.7488)
339,tensor(0.7605)
340,tensor(0.5837)
341,tensor(0.5818)
342,tensor(0.7459)
343,tensor(0.5898)
344,tensor(0.5850)
345,tensor(0.5735)
346,tensor(0.5753)
347,tensor(0.7465)
348,tensor(0.7636)
349,tensor(0.6294)
350,tensor(0.5715)
351,tensor(0.7604)
352,tensor(0.7594)
353,tensor(0.7596)
354,tensor(0.5856)
355,tensor(0.7565)
356,tensor(0.5744)
357,tensor(0.5782)
358,tensor(0.5787)
359,tensor(0.5944)
360,tensor(0.5836)
361,tensor(0.5432)
362,tensor(0.7455)
363,tensor(0.5969)
364,tensor(0.6038)
365,tensor(0.7544)
366,tensor(0.6041)
367,tensor(0.5176)
368,tensor(0.7470)
369,tensor(0.5830)
370,tensor(0.5739)
371,tensor(0.7886)
372,tensor(0.5732)
373,tensor(0.6056)
374,tensor(0.5738)
375,tensor(0.7646)
376,tensor(0.7491)
377,tensor(0.5737)
378,tensor(0.5767)
379,tensor(0.7338)
380,tensor(0.7569)
381,tensor(0.7967)
382,tensor(0.5805)
383,tensor(0.5592)
384,tensor(0.7664)
385,tensor(0.5247)
386,tensor(0.7564)
387,tensor(0.5661)
388,tensor(0.5773)
389,tensor(0.5850)
390,tensor(0.8633)
391,tensor(0.5805)
392,tensor(0.5707)
393,tensor(0.5801)
394,tensor(0.5696)
395,tensor(0.5775)
396,tensor(0.7474)
397,tensor(0.5862)
398,tensor(0.7654)
399,tensor(0.5869)
400,tensor(0.5903)
401,tensor(0.7692)
402,tensor(0.5869)
403,tensor(0.5607)
404,tensor(0.7997)
405,tensor(0.5788)
406,tensor(0.5815)
407,tensor(0.8034)
408,tensor(0.5887)
409,tensor(0.7498)
410,tensor(0.5743)
411,tensor(0.5545)
412,tensor(0.6346)
413,tensor(0.5692)
414,tensor(0.5805)
415,tensor(0.5768)
416,tensor(0.5802)
417,tensor(0.5768)
418,tensor(0.6150)
419,tensor(0.5711)
420,tensor(0.7595)
421,tensor(0.5722)
422,tensor(0.5733)
423,tensor(0.5736)
424,tensor(0.5872)
425,tensor(0.6212)
426,tensor(0.5808)
427,tensor(0.7676)
428,tensor(0.5790)
429,tensor(0.5808)
430,tensor(0.5767)
431,tensor(0.5877)
432,tensor(0.5808)
433,tensor(0.5852)
434,tensor(0.5781)
435,tensor(0.5753)
436,tensor(0.9329)
437,tensor(0.5517)
438,tensor(0.7499)
439,tensor(0.9103)
440,tensor(0.6000)
441,tensor(0.7906)
442,tensor(0.5854)
443,tensor(0.5554)
444,tensor(0.6163)
445,tensor(0.6292)
446,tensor(0.5734)
447,tensor(0.5508)
448,tensor(0.8054)
449,tensor(0.5698)
450,tensor(0.5581)
451,tensor(0.7733)
452,tensor(0.7478)
453,tensor(0.7548)
454,tensor(0.7865)
455,tensor(0.5570)
456,tensor(0.5856)
457,tensor(0.5617)
458,tensor(0.6240)
459,tensor(0.7696)
460,tensor(0.5794)
461,tensor(0.7589)
462,tensor(0.5976)
463,tensor(0.5836)
464,tensor(0.9057)
465,tensor(0.5861)
466,tensor(0.7902)
467,tensor(0.6125)
468,tensor(0.5796)
469,tensor(0.7809)
470,tensor(0.5759)
471,tensor(0.5906)
472,tensor(0.7553)
473,tensor(0.5882)
