,file_index,best_score,epoch_no
0,0,0.6368154287338257,0
1,1,0.6484375596046448,11
2,2,0.8235121965408325,0
3,3,0.6171603202819824,1
4,4,0.6427921056747437,0
5,5,0.5784326195716858,3
6,6,0.7448676824569702,0
7,7,0.8291881680488586,0
8,8,0.8584113121032715,0
9,9,0.7649116516113281,0
10,10,0.6369133591651917,0
11,11,0.6396406888961792,1
12,12,0.40381738543510437,43
13,13,0.6572209000587463,0
14,14,0.6487262845039368,0
15,15,0.6473289132118225,0
16,16,0.6279754042625427,3
17,17,0.659570574760437,0
18,18,0.8281853795051575,0
19,19,0.6724944114685059,0
20,20,0.7016168236732483,0
21,21,0.6216558814048767,0
22,22,0.6314141154289246,0
23,23,0.7135447859764099,0
24,24,0.8539449572563171,0
25,25,0.3843269944190979,15
26,26,0.44349318742752075,0
27,27,0.6363317370414734,0
28,28,0.5558000802993774,49
29,29,0.6507134437561035,0
30,30,0.628842830657959,0
31,31,0.5942164063453674,0
32,32,0.6417574882507324,0
33,33,0.667156457901001,0
34,34,0.8288230895996094,0
35,35,0.7276267409324646,0
36,36,0.6584060788154602,0
37,37,0.6458634734153748,0
38,38,0.6359848976135254,0
39,39,0.8190754055976868,0
40,40,0.8416897058486938,0
41,41,0.5968531370162964,0
42,42,0.631487250328064,0
43,43,0.5795859098434448,1
44,44,0.7977069616317749,0
45,45,0.7975307106971741,0
46,46,0.8702068328857422,0
47,47,0.6174471378326416,4
48,48,0.610068678855896,4
49,49,0.867219865322113,0
50,50,0.8097008466720581,2
51,51,0.6471450328826904,0
52,52,0.6256532073020935,4
53,53,0.8111423254013062,0
54,54,0.6389516592025757,0
55,55,0.8065664172172546,0
56,56,0.64799964427948,0
57,57,0.8312660455703735,0
58,58,0.6200778484344482,49
59,59,0.7031381726264954,35
60,60,0.6503341197967529,0
61,61,0.6418476104736328,0
62,62,0.6175742745399475,2
63,63,0.6060729622840881,49
64,64,0.8227227330207825,0
65,65,0.7189368605613708,0
66,66,0.4537753462791443,2
67,67,0.8209776878356934,0
68,68,0.7062244415283203,49
69,69,0.6653982996940613,0
70,70,0.6536968946456909,0
71,71,0.7756717801094055,0
72,72,0.6374521851539612,0
73,73,0.842559278011322,0
74,74,0.6083895564079285,0
75,75,0.6949300765991211,8
76,76,0.650604248046875,0
77,77,0.6806487441062927,0
78,78,0.6364529728889465,0
79,79,0.789385199546814,0
80,80,0.8256109356880188,0
81,81,0.8150771856307983,0
82,82,0.6455458998680115,0
83,83,0.8479616045951843,0
84,84,0.6223184466362,0
85,85,0.6534435749053955,0
86,86,0.6282296776771545,1
87,87,0.8296663165092468,0
88,88,0.6343196034431458,0
89,89,0.8170005083084106,0
90,90,0.8553333282470703,0
91,91,0.4238438308238983,2
92,92,0.6164377927780151,0
93,93,0.7088651657104492,0
94,94,0.8369234800338745,0
95,95,0.6786515712738037,0
96,96,0.847926914691925,0
97,97,0.6496102213859558,0
98,98,0.6322066783905029,49
99,99,0.6526216864585876,0
100,100,0.6587489247322083,0
101,101,0.8182718753814697,0
102,102,0.43428945541381836,3
103,103,0.6277846097946167,1
104,104,0.6434853672981262,0
105,105,0.6755606532096863,0
106,106,0.8360992074012756,0
107,107,0.5482797026634216,0
108,108,0.6370230317115784,0
109,109,0.6878424882888794,0
110,110,0.6403751969337463,0
111,111,0.5535451769828796,2
112,112,0.6882954835891724,0
113,113,0.629535436630249,0
114,114,0.6260640025138855,4
115,115,0.6522707939147949,0
116,116,0.830411434173584,1
117,117,0.6390805244445801,0
118,118,0.7353543639183044,6
119,119,0.617307722568512,6
120,120,0.7635888457298279,0
121,121,0.42232760787010193,3
122,122,0.6476175785064697,0
