,0,1,2
0,45.90346908569336,42.97886657714844,41.47365951538086
1,41.957706451416016,56.84178924560547,50.133060455322266
2,47.740203857421875,51.27676010131836,55.216796875
3,43.791259765625,53.817745208740234,38.78109359741211
4,45.473838806152344,54.888973236083984,57.689125061035156
5,46.58583068847656,41.738399505615234,58.075260162353516
6,40.09408950805664,40.79866409301758,45.849754333496094
7,48.13315963745117,49.63055419921875,53.9793815612793
8,50.45634460449219,55.53086853027344,42.43928909301758
9,56.802276611328125,47.62664794921875,60.02275466918945
10,53.66307830810547,51.82862854003906,57.88835906982422
11,53.833824157714844,53.793148040771484,64.59590148925781
12,54.00394821166992,40.31196594238281,44.08226013183594
13,46.52123260498047,56.77480697631836,48.25107192993164
14,41.14665603637695,42.80420684814453,55.51980972290039
15,45.51948928833008,60.95787811279297,57.45512008666992
16,55.79254913330078,56.78108215332031,53.0299072265625
17,53.18642044067383,39.45411682128906,37.96414566040039
18,54.13620376586914,64.25910186767578,52.25803756713867
19,56.831722259521484,41.864295959472656,45.757564544677734
20,56.991798400878906,61.45610427856445,64.35851287841797
21,48.42231369018555,54.27928924560547,57.731136322021484
22,56.32688522338867,43.07761764526367,41.09873962402344
23,48.09511184692383,54.70824432373047,50.692474365234375
24,53.78491973876953,61.539424896240234,57.2866096496582
25,38.049285888671875,38.74274826049805,57.97040557861328
26,42.59228515625,43.40456008911133,59.84471893310547
27,53.697898864746094,39.61081314086914,49.06772994995117
28,54.13627243041992,56.55839920043945,50.02613067626953
29,42.473506927490234,44.718482971191406,52.10681915283203
30,42.83378982543945,39.6624870300293,57.03337860107422
31,56.355979919433594,42.639869689941406,43.24364471435547
32,41.35287857055664,55.45697021484375,46.794734954833984
33,43.950748443603516,54.1937255859375,56.197723388671875
34,55.24688720703125,51.76748275756836,42.38383865356445
35,57.95768737792969,50.908287048339844,41.02796936035156
36,51.527740478515625,43.74444580078125,47.20541000366211
37,52.821266174316406,50.143409729003906,47.12057113647461
38,43.313751220703125,42.21000289916992,55.03627395629883
39,43.627418518066406,53.16171646118164,45.05122756958008
40,43.45354461669922,42.70427703857422,57.62363052368164
41,40.97734069824219,57.14628601074219,53.3482666015625
42,40.95970153808594,48.3678092956543,64.56171417236328
43,55.083866119384766,43.39558029174805,56.405147552490234
44,37.772247314453125,40.53691101074219,56.440513610839844
45,57.815635681152344,49.29800033569336,43.010589599609375
46,46.66450119018555,41.264198303222656,42.4390869140625
47,39.53181838989258,56.81255340576172,43.29560089111328
48,53.03282928466797,56.829322814941406,52.61696243286133
49,41.39055633544922,50.611148834228516,58.02150344848633
50,40.82870101928711,58.698974609375,55.36076354980469
51,49.8414306640625,55.184722900390625,49.685054779052734
52,54.12856674194336,44.515869140625,56.049861907958984
53,42.88862228393555,56.7107048034668,43.06892776489258
54,39.821533203125,45.155426025390625,57.86207580566406
55,52.06599426269531,61.478233337402344,50.219425201416016
56,38.119529724121094,42.60627365112305,53.857933044433594
57,39.88838577270508,40.976531982421875,42.72001647949219
58,52.762969970703125,46.53835678100586,41.88359832763672
59,53.23432159423828,41.617820739746094,58.07430648803711
60,54.038597106933594,64.0408935546875,41.12422180175781
61,54.11911392211914,51.14081573486328,40.141334533691406
62,52.857147216796875,46.50046920776367,43.68684768676758
63,53.305152893066406,41.048946380615234,56.115535736083984
64,42.19468688964844,56.86751937866211,42.847286224365234
65,40.32239532470703,55.5546875,43.007354736328125
66,37.86186981201172,56.85215759277344,38.035423278808594
67,40.2684440612793,61.718994140625,40.16120529174805
68,53.87419128417969,51.16541290283203,42.25468063354492
69,43.043724060058594,42.02525329589844,39.949283599853516
70,52.537208557128906,40.70033645629883,52.62111282348633
71,41.28242111206055,61.4519157409668,58.00938034057617
72,53.961585998535156,52.36186599731445,58.2457160949707
73,46.44169616699219,39.67992401123047,57.28719711303711
74,48.93408966064453,56.948455810546875,43.038848876953125
75,48.77381896972656,55.06822204589844,53.3737907409668
76,40.664031982421875,56.429290771484375,52.56641387939453
77,51.78093719482422,61.14244842529297,40.562744140625
78,51.41114044189453,48.873626708984375,63.98554992675781
79,39.69768142700195,54.36688232421875,39.71918487548828
80,51.559364318847656,43.54818344116211,57.8087043762207
81,47.36162567138672,48.38142013549805,55.148651123046875
82,53.83217239379883,56.7375373840332,42.04413604736328
83,50.32518005371094,46.67286682128906,36.58309555053711
84,34.99332046508789,56.817508697509766,50.52302551269531
85,40.98542785644531,45.66231155395508,37.92739486694336
86,54.23009490966797,53.90108108520508,44.9062385559082
87,47.57704162597656,55.63236999511719,42.71946716308594
88,53.90498733520508,56.74610137939453,59.913902282714844
89,53.08032989501953,56.197715759277344,39.20275115966797
90,52.11909484863281,56.786537170410156,46.219600677490234
